order_month,total_sales
2014-01-01 00:00:00+00,14236.90
2014-02-01 00:00:00+00,4519.89
2014-03-01 00:00:00+00,55691.01
2014-04-01 00:00:00+00,28295.35
2014-05-01 00:00:00+00,23648.29
2014-06-01 00:00:00+00,34595.13
2014-07-01 00:00:00+00,33946.39
2014-08-01 00:00:00+00,27909.47
2014-09-01 00:00:00+00,81777.35
2014-10-01 00:00:00+00,31453.39
2014-11-01 00:00:00+00,78628.72
2014-12-01 00:00:00+00,69545.62
2015-01-01 00:00:00+00,18174.08
2015-02-01 00:00:00+00,11951.41
2015-03-01 00:00:00+00,38726.25
2015-04-01 00:00:00+00,34195.21
2015-05-01 00:00:00+00,30131.69
2015-06-01 00:00:00+00,24797.29
2015-07-01 00:00:00+00,28765.33
2015-08-01 00:00:00+00,36898.33
2015-09-01 00:00:00+00,64595.92
2015-10-01 00:00:00+00,31404.92
2015-11-01 00:00:00+00,75972.56
2015-12-01 00:00:00+00,74919.52
2016-01-01 00:00:00+00,18542.49
2016-02-01 00:00:00+00,22978.82
2016-03-01 00:00:00+00,51715.88
2016-04-01 00:00:00+00,38750.04
2016-05-01 00:00:00+00,56987.73
2016-06-01 00:00:00+00,40344.53
2016-07-01 00:00:00+00,39261.96
2016-08-01 00:00:00+00,31115.37
2016-09-01 00:00:00+00,73410.02
2016-10-01 00:00:00+00,59687.75
2016-11-01 00:00:00+00,79411.97
2016-12-01 00:00:00+00,96999.04
2017-01-01 00:00:00+00,43971.37
2017-02-01 00:00:00+00,20301.13
2017-03-01 00:00:00+00,58872.35
2017-04-01 00:00:00+00,36521.54
2017-05-01 00:00:00+00,44261.11
2017-06-01 00:00:00+00,52981.73
2017-07-01 00:00:00+00,45264.42
2017-08-01 00:00:00+00,63120.89
2017-09-01 00:00:00+00,87866.65
2017-10-01 00:00:00+00,77776.92
2017-11-01 00:00:00+00,118447.83
2017-12-01 00:00:00+00,83829.32
